model,mse,mae,cal,z
svgp,0.43316654954414785,0.513143336671421,0.9312500357627869,-0.022107994962631994
rff_rbf,0.5494158964954651,0.5855739205863095,0.5250000357627869,-0.022377398776048177
rff,0.7347805259628828,0.5846013275454379,0.5687500238418579,-0.028634360015864543
qrff,0.4769368984006082,0.4653025367024734,0.675000011920929,-0.01592306524884329
srf,0.6791657429129537,0.6119980689942693,0.574999988079071,-0.006415028084464295
nrff,0.5045659171367219,0.48207639596304586,0.7875000238418579,-0.013253961600349981
mix,0.37549648984916467,0.41973488826101435,0.8812500238418579,-0.01522997057162715
nmix,0.40134920341507074,0.42991971621569924,0.8687500357627869,-0.022100981023275776
svgp,0.3268776402991537,0.4524740713109179,0.9750000238418579,-0.00539860456753917
rff_rbf,0.6099808423410024,0.6266876640037827,0.46875,0.014111821836202862
rff,0.5745520393838744,0.5012322219499487,0.643750011920929,-0.005407231229455945
qrff,0.4494980075579825,0.43933104331483136,0.675000011920929,0.008497778325900983
srf,0.5665560163758969,0.5594387878397272,0.5875000357627869,-0.004523347160238683
nrff,0.42896450935623104,0.41819608423673443,0.8500000238418579,0.0018846244427959077
mix,0.3010268103375182,0.38799842016904385,0.918749988079071,-0.0011691149836970983
nmix,0.3645894577368518,0.4301644642645262,0.887499988079071,0.0007430591726841437
svgp,0.35175276226518504,0.4700756187078847,0.9625000357627869,-0.0017608650223765489
rff_rbf,0.550274374049622,0.5765690497107756,0.5375000238418579,0.007190815027122974
rff,0.7952746095162152,0.5970376788317883,0.574999988079071,0.014063786504156501
qrff,0.6120726302080153,0.5536706096966413,0.612500011920929,-0.0036921162789378516
srf,0.43269238653522657,0.4910090326342575,0.71875,0.009362096897688096
nrff,0.3825750553232785,0.40896152237176386,0.8062500357627869,0.004892958853040146
mix,0.3646266462037499,0.39974385817955044,0.893750011920929,0.0043304606513632675
nmix,0.39111272926310875,0.42288189074736265,0.887499988079071,0.0020882081224635925
svgp,0.3781217688295462,0.48204336684495364,0.956250011920929,-0.0026754218447166585
rff_rbf,0.7148340766750727,0.6796419050119861,0.45625001192092896,-0.015309604186731836
rff,0.6001876072578546,0.5079267623798057,0.6312500238418579,0.01338866971147118
qrff,0.3855223823837601,0.4003210308840977,0.731249988079071,2.1030044635418632e-05
srf,0.6625789643442673,0.561283377918489,0.6625000238418579,-0.0126255933670621
nrff,0.4807240135172789,0.452928416954933,0.8062500357627869,-0.004337874713810336
mix,0.36554821778896823,0.3990146974463589,0.893750011920929,-0.0010936888083196814
nmix,0.3637754122461502,0.39259724449790695,0.9125000238418579,-0.0037323141839272415
svgp,0.4006080325644954,0.502564628820322,0.9375,0.014528838098487262
rff_rbf,0.6066263364467628,0.6033343959610988,0.5062500238418579,0.012412445915212027
rff,0.5778240180989052,0.536930924847548,0.606249988079071,0.013225997986232125
qrff,0.5866961646990884,0.5657298035974683,0.6312500238418579,0.0018025840543285114
srf,0.6327303082927864,0.5748332684342798,0.6312500238418579,-0.0015113497928524915
nrff,0.4619670055956375,0.47782559033211636,0.8187500238418579,0.0010149497814711925
mix,0.36308782048598665,0.42827542983543965,0.9125000238418579,0.004099863667202573
nmix,0.37885111584879355,0.44574889751665553,0.875,0.007774535935711028
svgp,0.3621865191051141,0.48118302425207954,0.956250011920929,0.01096930085721976
rff_rbf,0.6635432692011447,0.6560241622485317,0.4749999940395355,0.003675625610027926
rff,0.630467572590231,0.558177269184197,0.574999988079071,0.007055352764949785
qrff,0.35502508969794166,0.4137162054322405,0.7562500238418579,0.0013147398052225133
srf,0.5342323407215946,0.5539711144934518,0.6312500238418579,0.015684104075887436
nrff,0.39923360823785403,0.43569612420027026,0.824999988079071,-0.00076578150837451
mix,0.3082887490250803,0.4050323187909598,0.9125000238418579,0.006504401210851486
nmix,0.36862672451947837,0.4250776506484837,0.875,0.009307533005784218
svgp,0.5261347954769612,0.5580442879937257,0.887499988079071,-0.00687104577138474
rff_rbf,0.7732852051905903,0.6889854022111503,0.40625,-0.0054242144416887395
rff,0.8074694068304352,0.629520269128747,0.5375000238418579,-0.009052518890403814
qrff,0.557525050071381,0.49992182662064827,0.65625,-0.00454823954452348
srf,0.7477256319890689,0.6283769354442454,0.625,0.006241036739065946
nrff,0.5781479116787395,0.4954917801582978,0.793749988079071,-0.0030974631573713832
mix,0.4708394929286437,0.46948039797538477,0.8500000238418579,-0.0031179966756423186
nmix,0.5174558898660004,0.4847339280231885,0.856249988079071,-0.0040589195575992925
svgp,0.44715094949250833,0.5326838861173967,0.9375,0.009670397099773236
rff_rbf,0.6089124737426072,0.6334651707820982,0.48125001788139343,0.0009755131311998428
rff,0.67447068176816,0.5720213531003896,0.574999988079071,0.004078472925635462
qrff,0.49145464780584186,0.48300914007338325,0.6500000357627869,0.0013996995136886662
srf,0.7147777231314945,0.6208685674638312,0.574999988079071,0.009261535121947755
nrff,0.5100330073749586,0.507286349002089,0.7437500357627869,0.006685388368541576
mix,0.3718125009209345,0.456791746659134,0.875,0.015290737570323357
nmix,0.3373315977987079,0.40733952586022437,0.8812500238418579,0.005473207389439826
svgp,0.483821050207337,0.5363090526216979,0.9312500357627869,-0.0050449785744171305
rff_rbf,0.722386204789164,0.6579071126329067,0.48750001192092896,-0.003092066044921517
rff,0.8195659562316454,0.6485340948736242,0.53125,-0.0017129649221632457
qrff,0.5741208009230759,0.5423155882760605,0.6000000238418579,0.0029156628687727055
srf,0.7124243260133606,0.5991864599277188,0.606249988079071,-0.005340108004580592
nrff,0.55546102104564,0.5152703427761928,0.78125,-0.0010543336485630843
mix,0.4259089470925968,0.46477546817309023,0.8812500238418579,0.00014483557566584705
nmix,0.44473847703269914,0.4838500478175631,0.887499988079071,0.0002901428991949902
svgp,0.37819886211479764,0.4684115074550018,0.96875,-0.010442544927706023
rff_rbf,0.7467298333143786,0.6825614983376245,0.45000001788139343,-0.002929638257165459
rff,0.8444173090305477,0.6337595170120205,0.5625,-0.002871293404407278
qrff,0.49053842353196375,0.4593469512159876,0.706250011920929,-0.002313253937735343
srf,0.4929875985446602,0.5294614750080535,0.637499988079071,0.00328694386351463
nrff,0.39712132143668327,0.4198622575525458,0.84375,-0.006848688176085822
mix,0.3357870197919216,0.4035666525669515,0.918749988079071,-0.0005774871637661384
nmix,0.3317762914249415,0.40601508792865443,0.9125000238418579,-0.0035289614416610564
